date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,is_friendly,match_id,home_form_goals_scored_8,away_form_goals_scored_8,home_form_goals_conceded_8,away_form_goals_conceded_8,home_form_win_rate_8,away_form_win_rate_8,home_form_clean_sheet_rate_8,away_form_clean_sheet_rate_8
2010-06-12,Argentina,Nigeria,1.0,0.0,FIFA World Cup,Johannesburg,South Africa,True,False,89,,0.9170948706063609,,0.525274361716675,,0.5144407775832838,,0.6884391972983281
2010-06-12,England,United States,1.0,1.0,FIFA World Cup,Rustenburg,South Africa,True,False,90,,,,,,,,
2010-06-12,South Korea,Greece,2.0,0.0,FIFA World Cup,Port Elizabeth,South Africa,True,False,91,2.5704567541302232,,1.379980563654033,,0.6695821185617103,,0.28085519922254615,
2010-06-13,Algeria,Slovenia,0.0,1.0,FIFA World Cup,Polokwane,South Africa,True,False,92,0.647709117389253,,1.72821153331065,,0.299712277959164,,0.27361251500190736,
2010-06-13,Germany,Australia,4.0,0.0,FIFA World Cup,Durban,South Africa,True,False,93,,1.4594594594594592,,0.9189189189189189,,0.5405405405405405,,0.5405405405405405
2010-06-13,Serbia,Ghana,0.0,1.0,FIFA World Cup,Pretoria,South Africa,True,False,94,,0.73035874084273,,0.6919045267711639,,0.5896043183047655,,0.5896043183047655
2010-06-14,Italy,Paraguay,1.0,1.0,FIFA World Cup,Cape Town,South Africa,True,False,95,,,,,,,,
2010-06-14,Japan,Cameroon,1.0,0.0,FIFA World Cup,Bloemfontein,South Africa,True,False,96,1.7751882854354957,1.527478131251716,0.9690940559269676,2.121092064488291,0.6052114914363621,0.226728905974189,0.6300505071783559,0.0
2010-06-14,Netherlands,Denmark,2.0,0.0,FIFA World Cup,Johannesburg,South Africa,True,False,97,,,,,,,,
2010-06-15,Brazil,North Korea,2.0,1.0,FIFA World Cup,Johannesburg,South Africa,True,False,98,,2.7471462754481624,,0.5065312046444121,,0.4934687953555878,,0.4934687953555878
2010-06-15,Ivory Coast,Portugal,0.0,0.0,FIFA World Cup,Port Elizabeth,South Africa,True,False,99,1.7687074829931972,,1.4965986394557824,,0.3304178814382896,,0.28085519922254615,
2010-06-15,New Zealand,Slovakia,1.0,1.0,FIFA World Cup,Rustenburg,South Africa,True,False,100,,,,,,,,
2010-06-16,Honduras,Chile,0.0,1.0,FIFA World Cup,Nelspruit,South Africa,True,False,101,,,,,,,,
2010-06-16,South Africa,Uruguay,0.0,3.0,FIFA World Cup,Pretoria,South Africa,False,False,102,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2010-06-16,Spain,Switzerland,0.0,1.0,FIFA World Cup,Durban,South Africa,True,False,103,,,,,,,,
2010-06-17,Argentina,South Korea,4.0,1.0,FIFA World Cup,Johannesburg,South Africa,True,False,104,1.0,2.391440787667203,0.0,0.9469266073039657,1.0,0.773271094025811,1.0,0.5065312046444121
2010-06-17,France,Mexico,0.0,2.0,FIFA World Cup,Polokwane,South Africa,True,False,105,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2010-06-17,Greece,Nigeria,2.0,1.0,FIFA World Cup,Bloemfontein,South Africa,True,False,106,0.0,0.7146227016255489,2.0,0.6300821986534074,0.0,0.4008648069962987,0.0,0.5364486214528428
2010-06-18,England,Algeria,0.0,0.0,FIFA World Cup,Cape Town,South Africa,True,False,107,1.0,0.5047107493144857,1.0,1.5674401961765052,0.0,0.23354312040139732,0.0,0.2132055482329157
2010-06-18,Germany,Serbia,0.0,1.0,FIFA World Cup,Port Elizabeth,South Africa,True,False,108,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2010-06-18,Lithuania,Latvia,0.0,0.0,Baltic Cup,Kaunas,Lithuania,False,False,109,,,,,,,,
2010-06-18,Slovenia,United States,2.0,2.0,FIFA World Cup,Johannesburg,South Africa,True,False,110,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2010-06-19,Cameroon,Denmark,1.0,2.0,FIFA World Cup,Pretoria,South Africa,True,False,111,1.1156070046058097,0.0,1.8187993885884448,2.0,0.1655934382799584,0.0,0.0,0.0
2010-06-19,Estonia,Latvia,0.0,0.0,Baltic Cup,Kaunas,Lithuania,True,False,112,,0.0,,0.0,,0.0,,1.0
2010-06-19,Ghana,Australia,1.0,1.0,FIFA World Cup,Rustenburg,South Africa,True,False,113,0.7952959768058299,0.8921282798833818,0.525274361716675,2.116618075801749,0.6884391972983281,0.3304178814382896,0.6884391972983281,0.3304178814382896
2010-06-19,Netherlands,Japan,1.0,0.0,FIFA World Cup,Durban,South Africa,True,False,114,2.0,1.588501037480629,0.0,0.7357088181601367,1.0,0.7002877220408357,1.0,0.7191448007774537
2010-06-20,Brazil,Ivory Coast,3.0,1.0,FIFA World Cup,Johannesburg,South Africa,True,False,115,2.0,1.2136664966853645,1.0,1.0269485741183855,1.0,0.226728905974189,0.0,0.5065312046444121
2010-06-20,Italy,New Zealand,1.0,1.0,FIFA World Cup,Nelspruit,South Africa,True,False,116,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2010-06-20,Lithuania,Estonia,2.0,0.0,Baltic Cup,Kaunas,Lithuania,False,False,117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2010-06-20,Slovakia,Paraguay,0.0,2.0,FIFA World Cup,Bloemfontein,South Africa,True,False,118,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2010-06-21,Chile,Switzerland,1.0,0.0,FIFA World Cup,Port Elizabeth,South Africa,True,False,119,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2010-06-21,Portugal,North Korea,7.0,0.0,FIFA World Cup,Cape Town,South Africa,True,False,120,0.0,2.2760435538043855,0.0,0.909232011136184,0.0,0.3604092480210859,1.0,0.3604092480210859
2010-06-21,Spain,Honduras,2.0,0.0,FIFA World Cup,Johannesburg,South Africa,True,False,121,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2010-06-22,Greece,Argentina,0.0,2.0,FIFA World Cup,Polokwane,South Africa,True,False,122,1.081081081081081,2.621621621621621,1.4594594594594592,0.5405405405405405,0.5405405405405405,0.9999999999999999,0.0,0.45945945945945943
2010-06-22,Mexico,Uruguay,0.0,1.0,FIFA World Cup,Rustenburg,South Africa,True,False,123,1.5405405405405403,1.6216216216216215,0.45945945945945943,0.0,0.5405405405405405,0.5405405405405405,0.5405405405405405,0.9999999999999999
2010-06-22,Nigeria,South Korea,2.0,2.0,FIFA World Cup,Durban,South Africa,True,False,124,0.7734626153716428,2.0162509416378347,0.9125357986055211,1.7701611612100825,0.31821334592402417,0.5647653025627717,0.4258420988061832,0.36994949282164413
2010-06-22,South Africa,France,2.0,1.0,FIFA World Cup,Bloemfontein,South Africa,False,False,125,0.45945945945945943,0.0,2.0810810810810807,1.081081081081081,0.0,0.0,0.0,0.45945945945945943
2010-06-23,Australia,Serbia,2.0,1.0,FIFA World Cup,Nelspruit,South Africa,True,False,126,0.9259796806966618,0.5405405405405405,1.766210332248068,0.45945945945945943,0.226728905974189,0.5405405405405405,0.226728905974189,0.5405405405405405
